judul berita,link berita,topik berita,waktu
5 Perubahan Gaya Hidup yang Bisa Kurangi Kerontokan Rambut,https://lifestyle.kompas.com/read/2021/04/25/173000620/5-perubahan-gaya-hidup-yang-bisa-kurangi-kerontokan-rambut,LIFESTYLE,"25/04/2021, 17:30 WIB"
"UPDATE Covid-19 di Jatim, DIY, Bali, NTT, NTB, Kalbar dan Kalsel 25 April 2021",https://regional.kompas.com/read/2021/04/25/172831878/update-covid-19-di-jatim-diy-bali-ntt-ntb-kalbar-dan-kalsel-25-april-2021,REGIONAL,"25/04/2021, 17:28 WIB"
"5 Desa Bebas Kendaraan Bermotor di Swiss, Punya Udara yang Segar",https://travel.kompas.com/read/2021/04/25/172800227/5-desa-bebas-kendaraan-bermotor-di-swiss-punya-udara-yang-segar,TRAVEL,"25/04/2021, 17:28 WIB"
Masih Dibuka Rekrutmen Bintara TNI AD 2021 bagi Lulusan SMA/SMK,https://www.kompas.com/edu/read/2021/04/25/172408071/masih-dibuka-rekrutmen-bintara-tni-ad-2021-bagi-lulusan-sma-smk,EDUKASI,"25/04/2021, 17:24 WIB"
Ajari Anak Menjadi Sholeh dan Sholehah Lewat Komik Ini,https://edukasi.kompas.com/read/2021/04/25/172100571/ajari-anak-menjadi-sholeh-dan-sholehah-lewat-komik-ini,EDUKASI,"25/04/2021, 17:21 WIB"
"Man City Vs Tottenham: Spurs Lupakan Mourinho, Pinjam Gaya Pochettino",https://bola.kompas.com/read/2021/04/25/17200028/man-city-vs-tottenham--spurs-lupakan-mourinho-pinjam-gaya-pochettino,BOLA,"25/04/2021, 17:20 WIB"
Dul Jaelani: Enggak Pernah Aku Pacaran Pakai Duit Orangtua,https://www.kompas.com/hype/read/2021/04/25/172000566/dul-jaelani--enggak-pernah-aku-pacaran-pakai-duit-orangtua,HYPE,"25/04/2021, 17:20 WIB"
[KURASI KOMPASIANA] Hal-hal yang Membuat Kencan Pertamamu Sukses!,https://money.kompas.com/read/2021/04/25/171700126/-kurasi-kompasiana-hal-hal-yang-membuat-kencan-pertamamu-sukses-,MONEY,"25/04/2021, 17:17 WIB"
"KRI Nanggala-402 Tenggelam, Ini Spek Pesawat P-8 Poseidon Milik AS yang Bantu Pencarian",https://www.kompas.com/global/read/2021/04/25/171113970/kri-nanggala-402-tenggelam-ini-spek-pesawat-p-8-poseidon-milik-as-yang,GLOBAL,"25/04/2021, 17:11 WIB"
"Asmanya Kambuh, Seorang Pria Terpeleset dan Tenggelam di Kalimalang ",https://megapolitan.kompas.com/read/2021/04/25/17102411/asmanya-kambuh-seorang-pria-terpeleset-dan-tenggelam-di-kalimalang,NEWS,"25/04/2021, 17:10 WIB"
"7 Cara Membuat Kue Kering Lebaran Anti Gagal, Hasil Renyah dan Tidak Keras",https://www.kompas.com/food/read/2021/04/25/170900875/7-cara-membuat-kue-kering-lebaran-anti-gagal-hasil-renyah-dan-tidak-keras,FOOD,"25/04/2021, 17:09 WIB"
"Pastikan Kelancaran Telekomunikasi, Telkom Pantau Pemulihan Infrastruktur di Wilayah Terdampak Bencana",https://money.kompas.com/read/2021/04/25/170756826/pastikan-kelancaran-telekomunikasi-telkom-pantau-pemulihan-infrastruktur-di,MONEY,"25/04/2021, 17:07 WIB"
Epidemiolog: Klaster Perkantoran di Jakarta Naik karena Kebijakan WFH Tak Diterapkan dengan Baik,https://megapolitan.kompas.com/read/2021/04/25/17050821/epidemiolog-klaster-perkantoran-di-jakarta-naik-karena-kebijakan-wfh-tak,NEWS,"25/04/2021, 17:05 WIB"
6 Cara Kucing Menunjukkan Kasih Sayangnya pada Kita,https://www.kompas.com/homey/read/2021/04/25/170507076/6-cara-kucing-menunjukkan-kasih-sayangnya-pada-kita,HOMEY,"25/04/2021, 17:05 WIB"
10 Cara Meredakan Stress dan Gangguan Kecemasan Secara Alami,https://www.kompas.com/sains/read/2021/04/25/170500123/10-cara-meredakan-stress-dan-gangguan-kecemasan-secara-alami,SAINS,"25/04/2021, 17:05 WIB"
Bagian Wajah Paula Verhoeven Ini Wajib Dirias meski Tak Makeup,https://www.kompas.com/hype/read/2021/04/25/170300266/bagian-wajah-paula-verhoeven-ini-wajib-dirias-meski-tak-makeup,HYPE,"25/04/2021, 17:03 WIB"
"Jelang Lebaran, Berburu Mobil Harga Rp 20 Jutaan di Surabaya",https://otomotif.kompas.com/read/2021/04/25/170100215/jelang-lebaran-berburu-mobil-harga-rp-20-jutaan-di-surabaya,OTOMOTIF,"25/04/2021, 17:01 WIB"
Jadwal dan Link Live Streaming Final Piala Menpora Persib Vs Persija,https://bola.kompas.com/read/2021/04/25/17005388/jadwal-dan-link-live-streaming-final-piala-menpora-persib-vs-persija,BOLA,"25/04/2021, 17:00 WIB"
"Agar Lebaran Istimewa, Gunakan Wewangian Sesuai Karakter Ruangan",https://properti.kompas.com/read/2021/04/25/170000421/agar-lebaran-istimewa-gunakan-wewangian-sesuai-karakter-ruangan,PROPERTI,"25/04/2021, 17:00 WIB"
"Bertahun-tahun Ditelantarkan Anak hingga Tergolek Tak Berdaya di Rumah Kosong, Abah Yana: Saya Pasrah",https://regional.kompas.com/read/2021/04/25/170000378/bertahun-tahun-ditelantarkan-anak-hingga-tergolek-tak-berdaya-di-rumah,REGIONAL,"25/04/2021, 17:00 WIB"
